stock_id:ID,name,list_date,reg_capital,setup_date,employees,:LABEL
002234,民和股份,20080516,30204.6632,19970526,4592.0,Company
002235,安妮股份,20080516,60127.6238,19980914,509.0,Company
002236,大华股份,20080520,299757.773,20010312,13608.0,Company
002237,恒邦股份,20080520,91040.0,19940218,5522.0,Company
002238,天威视讯,20080526,61735.32,19950718,2260.0,Company
002239,奥特佳,20080522,313135.9417,20020613,5915.0,Company
002240,威华股份,20080523,53534.3457,20011229,1906.0,Company
002241,歌尔股份,20080522,324510.3948,20010625,48652.0,Company
002242,九阳股份,20080528,76737.1,20020708,2665.0,Company
002243,通产丽星,20080528,36494.8956,19950714,3792.0,Company
002244,滨江集团,20080529,311144.38899999997,19960822,1248.0,Company
002245,澳洋顺昌,20080605,98131.1778,20020930,3115.0,Company
002246,北化股份,20080605,54903.4794,20020823,3813.0,Company
002247,聚力文化,20080612,85087.0049,20000118,1833.0,Company
