Unnamed: 0,ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio
11029,002215,20190426.0,20190331,深圳市融信南方投资有限公司,115294059.0,12.61
11031,002845,20190424.0,20190331,中国-比利时直接股权投资基金,2382200.0,1.17
11033,002845,20190424.0,20190331,深圳市泰欣德投资企业(有限合伙),9072000.0,4.47
11040,002845,20190424.0,20190331,恒泰资本投资有限责任公司,1600000.0,0.79
11041,300739,20190429.0,20190331,深圳健玺投资合伙企业(有限合伙),1534438.0,0.83
11042,300739,20190429.0,20190331,深圳利运得有限公司,2882880.0,1.56
11044,300739,20190429.0,20190331,深圳圣盈高有限公司,8662500.0,4.69
11045,300739,20190429.0,20190331,深圳盛健管理咨询合伙企业(有限合伙),9415982.0,5.1
11046,300739,20190429.0,20190331,深圳润玺投资管理有限公司,110779200.0,59.95
11051,002240,20190724.0,20190630,深圳盛屯集团有限公司,85349357.0,15.94
11054,002240,20190724.0,20190630,国通信托有限责任公司-国通信托·紫金9号集合资金信托计划,18000000.0,3.36
11055,002240,20190724.0,20190630,新华人寿保险股份有限公司-新分红产品,3382686.0,0.63
11057,002240,20190724.0,20190630,上海方圆达创投资合伙企业(有限合伙)-方圆-东方46号私募投资基金,4830000.0,0.9
11059,002240,20190724.0,20190630,陕西省国际信托股份有限公司-陕国投·【融鑫26号】证券投资集合资金信托计划,19624332.0,3.67
11060,002240,20190724.0,20190630,上海方圆达创投资合伙企业(有限合伙)-方圆-东方45号私募投资基金,4913000.0,0.92
11061,002276,20190429.0,20190331,浙江广杰投资管理有限公司,10462555.0,1.01
11062,002276,20190429.0,20190331,中国农业银行股份有限公司-银华内需精选混合型证券投资基金(LOF),12000000.0,1.16
11063,002276,20190429.0,20190331,全国社保基金五零四组合,11013231.0,1.06
11064,002276,20190429.0,20190331,中国建设银行股份有限公司-银华鑫锐定增灵活配置混合型证券投资基金,11013215.0,1.06
11065,002276,20190429.0,20190331,中国建设银行股份有限公司-银华鑫锐定增灵活配置混合型证券投资基金,11013215.0,1.06
11066,002276,20190429.0,20190331,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,6899742.0,0.67
11067,002276,20190429.0,20190331,全国社保基金一一八组合,7611309.0,0.74
11070,002276,20190429.0,20190331,浙江万马智能科技集团有限公司,263141812.0,25.41
11076,002447,20190429.0,20190331,湖南威科电力仪表有限公司,5100000.0,0.36
11078,002447,20190429.0,20190331,北京乐文科技发展有限公司,3924900.0,0.28
11082,300040,20190426.0,20190331,北京智诚盛景创业投资有限责任公司,3465479.0,1.01
11083,300040,20190426.0,20190331,黑龙江辰能哈工大高科技风险投资有限公司,11622240.0,3.39
11087,300040,20190426.0,20190331,宁波华建汇富创业投资有限公司,2249724.0,0.66
11088,300040,20190426.0,20190331,哈尔滨市科技风险投资中心,2538460.0,0.74
11089,300040,20190426.0,20190331,北京中电新能投资中心(有限合伙),2291613.0,0.67
11091,002252,20190712.0,20190705,科瑞天诚投资控股有限公司,1582529564.0,31.81
11092,002252,20190712.0,20190705,RAAS CHINA LIMITED,1424711764.0,28.64
11093,002252,20190705.0,20190703,RAAS CHINA LIMITED,1484431764.0,29.84
11094,002252,20190705.0,20190703,科瑞天诚投资控股有限公司,1582529564.0,31.81
11095,002252,20190703.0,20190701,科瑞天诚投资控股有限公司,1582529564.0,31.81
11096,002252,20190703.0,20190701,RAAS CHINA LIMITED,1490079322.0,29.95
11097,002252,20190615.0,20190531,科瑞天诚投资控股有限公司,1582529564.0,31.81
11098,002252,20190615.0,20190531,RAAS CHINA LIMITED,1502508200.0,30.2
11099,002252,20190427.0,20190331,陕西省国际信托股份有限公司-陕国投·鑫鑫向荣76号证券投资集合资金信托计划,45114016.0,0.91
11100,002252,20190427.0,20190331,宁波科瑞金鼎投资合伙企业(有限合伙),210276214.0,4.23
11101,002265,20190625.0,20190624,中国兵器装备集团有限公司,50756653.0,15.93
11102,002265,20190625.0,20190624,南方工业资产管理有限责任公司,127091626.0,39.89
11103,002265,20190426.0,20190331,南方工业资产管理有限责任公司,130277287.0,40.89
11104,002265,20190426.0,20190331,中国兵器装备集团有限公司,50756653.0,15.93
11106,002265,20190426.0,20190331,贵州长征天成控股股份有限公司,4617853.0,1.45
11107,002265,20190426.0,20190331,中央汇金资产管理有限责任公司,4292500.0,1.35
11110,002265,20190426.0,20190331,平安大华基金-平安银行-北京东海中矿投资管理有限公司,1519544.0,0.48
11111,002186,20190425.0,20190331,北京首都旅游集团有限责任公司,131606774.0,42.67
11114,002186,20190425.0,20190331,中央汇金资产管理有限责任公司,3215700.0,1.04
11115,002186,20190425.0,20190331,IDG资本管理(香港)有限公司-IDG中国股票基金,15211672.0,4.93
11117,002186,20190425.0,20190331,北京能源集团有限责任公司,3808782.0,1.23
11118,002186,20190425.0,20190331,华住酒店管理有限公司,7241131.0,2.35
11120,002186,20190425.0,20190331,北京轫开投资有限公司,11000000.0,3.57
11122,002166,20190426.0,20190430,中央汇金资产管理有限责任公司,25339080.0,4.48
11132,300697,20190424.0,20190331,法国兴业银行,274100.0,0.13
11138,300697,20190424.0,20190331,江阴秋炜投资企业(有限合伙),15600000.0,7.5
11140,300697,20190424.0,20190331,江阴市康达投资有限公司,75400000.0,36.25
11142,002459,20190427.0,20190331,中央汇金资产管理有限责任公司,6223100.0,1.6
11143,002459,20190427.0,20190331,国泰君安金融控股有限公司-客户资金,8914000.0,2.29
11146,002459,20190427.0,20190331,深圳市华建盈富投资企业(有限合伙),141431000.0,36.39
11148,002459,20190427.0,20190331,中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF),6300000.0,1.62
