:START_ID,jobs,:END_ID,:TYPE
a4243f6ee36876552244805c487cfb76,董事,002638,employ of
530ed74ed2d7c1a5d65be1b8fe2a5959,董事,002638,employ of
c918b8164c0419703826c60729758e8d,董事,002638,employ of
74de77ccb414d166efe089bdd730bb9b,董事,002638,employ of
3f6e972a33af5628bae8b8946ae46825,董事,002638,employ of
7088def1168d36836a351f7c949811a2,独立董事,002638,employ of
622a9e4adb7d494ee01bed806f19bdb9,独立董事,002638,employ of
283d231939cd7ca4710fb483591b6e47,独立董事,002638,employ of
46905f4fc285b734da9625029092d7d0,董事长/董事,000605,employ of
ab15a27963bef5e9aebf404fac27f6d9,副董事长/董事,000605,employ of
72327baa899972fc741e09344d07790e,董事,000605,employ of
fc42488c60d869d9ff592575f4e69932,董事,000605,employ of
24c8ccefd4c86ca93c514176f50e1de0,董事,000605,employ of
d89e88794210909f20e948379077f3f9,董事,000605,employ of
59d0a7f372687e226887d8b5a90ba34f,独立董事,000605,employ of
f95939215ff309e9e739f735e2d87c95,独立董事,000605,employ of
f48a3eb69acfdffaebad1ae13204bded,独立董事,000605,employ of
b0b69ec8c35028ae840efe56fe0c797e,董事长/董事,002511,employ of
c7002b79811bda6f76c8e0b2d3aa2e97,副董事长/董事,002511,employ of
cc62e8c243505bbfcb8de37635ca2bfe,董事,002511,employ of
54df3bc13d431f9b6d5e0beda211071e,董事,002511,employ of
a545ecb2d7122d68c6b6af688f4102f4,董事,002511,employ of
48114d0d1d2fa2e2e61113fb16cd90f1,董事,002511,employ of
5f2173c73f7a49b7251b71573bb32a67,独立董事,002511,employ of
e9cb844def09ae8d0882282dc8096175,独立董事,002511,employ of
ccd2ec64434adc03180e980b2ce624d0,独立董事,002511,employ of
feb1896c1ac7e161160d85b6bc66afca,名誉董事长,300083,employ of
a8faf0bdae045594bda025aef4dc75d1,董事长/董事,300083,employ of
f7ce47d2e2fb1d4819a8460495030710,副董事长/董事,300083,employ of
3fea43671038dea7a80587b1bdd7f6ee,董事,300083,employ of
f096924e1957bea1bdf5f6559e68cb6e,独立董事,300083,employ of
ba0399e00b992d6a954b71e7ee921090,独立董事,300083,employ of
ddb105a70c3bcf25a3f39889141bb5e0,董事长/董事,600425,employ of
f9de53fa569dd12896a42171747afec9,董事,600425,employ of
cd00f9fa16b50a5e78ce60c205e833bb,董事,600425,employ of
bde1d97449606ae19a1a518589a2822f,独立董事,600425,employ of
dc2874a76699d66cffa7ad734ad2c5f5,独立董事,600425,employ of
6673c96740370732eaa6e342e7e578ee,独立董事,600425,employ of
4e672542ac2f6c4399538c95420c0047,职工董事,600425,employ of
