,ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio
113,002887.SZ,20190725,20190630,杨建伟,3500120.0,1.68
114,002887.SZ,20190725,20190630,卢云慧,83410080.0,40.1
115,002887.SZ,20190725,20190630,天津绿之茵管理咨询有限公司,6474000.0,3.11
116,002887.SZ,20190725,20190630,深圳市国信弘盛股权投资基金(有限合伙),12239760.0,5.88
117,002887.SZ,20190725,20190630,钟国强,482690.0,0.23
118,002887.SZ,20190725,20190630,章建刚,373750.0,0.18
119,002887.SZ,20190725,20190630,肖金燕,351000.0,0.17
120,002887.SZ,20190725,20190630,沈寓玲,350600.0,0.17
121,300719.SZ,20190731,20190729,常都喜,25567830.0,10.05
122,300719.SZ,20190731,20190729,北京安达维尔管理咨询有限公司,25190994.0,9.9053
123,300719.SZ,20190731,20190729,赵子安,89817478.0,35.317
124,300719.SZ,20190426,20190331,常都喜,33067830.0,13.05
125,300719.SZ,20190426,20190331,北京安达维尔管理咨询有限公司,25190994.0,9.94
126,300719.SZ,20190426,20190331,谈斌,5000000.0,1.97
127,300719.SZ,20190426,20190331,刘军,4500000.0,1.78
128,300719.SZ,20190426,20190331,赵子安,89817478.0,35.46
129,300719.SZ,20190426,20190331,雷录年,8743146.0,3.45
130,300719.SZ,20190426,20190331,刘浩东,8743146.0,3.45
131,300741.SZ,20190427,20190331,华烽国际投资控股(中国)有限公司,499500000.0,81.1
132,300741.SZ,20190427,20190331,上海香悦科技发展有限公司,500000.0,0.08
133,300741.SZ,20190427,20190331,共青城南土投资管理合伙企业(有限合伙),26080000.0,4.23
134,300741.SZ,20190427,20190331,中国建设银行股份有限公司-富国创业板指数分级证券投资基金,355200.0,0.06
135,300741.SZ,20190427,20190331,中国银行股份有限公司-广发中证养老产业指数型发起式证券投资基金,445200.0,0.07
136,300741.SZ,20190427,20190331,金鹰,586100.0,0.1
137,300741.SZ,20190427,20190331,于俊峰,900089.0,0.15
138,300741.SZ,20190427,20190331,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,1147000.0,0.19
139,300741.SZ,20190427,20190331,曲水创新发展有限公司,3890000.0,0.63
140,300741.SZ,20190427,20190331,共青城东证德睿投资管理有限公司-共青城东证田鑫投资管理合伙企业(有限合伙),24320000.0,3.95
141,002061.SZ,20190425,20190331,全国社保基金一零三组合,66983272.0,4.87
142,002061.SZ,20190425,20190331,浙江省交通投资集团有限公司,786220976.0,57.15
143,002061.SZ,20190425,20190331,浙江省国有资本运营有限公司,32180589.0,2.34
144,002061.SZ,20190425,20190331,宁波汇众壹号股权投资合伙企业(有限合伙),16191985.0,1.18
145,002061.SZ,20190425,20190331,中航国际成套设备有限公司,32180589.0,2.34
146,002061.SZ,20190425,20190331,招商银行股份有限公司-东方红睿丰灵活配置混合型证券投资基金(LOF),15499874.0,1.13
147,002061.SZ,20190425,20190331,全国社保基金一零四组合,34188839.0,2.49
148,002061.SZ,20190425,20190331,宁波汇众贰号股权投资合伙企业(有限合伙),15988604.0,1.16
149,002061.SZ,20190425,20190331,浙江海港资产管理有限公司,66880790.0,4.86
150,002061.SZ,20190425,20190331,浙江省中医药健康产业集团有限公司,34544562.0,2.51
151,002950.SZ,20190429,20190331,杜开文,7291927.0,1.73
152,002950.SZ,20190429,20190331,崔辉,9943535.0,2.36
153,002950.SZ,20190429,20190331,崔星炜,9943535.0,2.36
154,002950.SZ,20190429,20190331,杜先举,12625295.0,2.99
155,002950.SZ,20190429,20190331,万小香,41655673.0,9.87
156,002950.SZ,20190429,20190331,崔金海,97196573.0,23.02
157,002950.SZ,20190429,20190331,程宏,64059493.0,15.17
158,002950.SZ,20190429,20190331,陈浩华,68960012.0,16.33
159,002950.SZ,20190429,20190331,宁波星邻星投资管理有限公司-常州五星钛信绿色股权投资基金合伙企业(有限合伙),13262120.0,3.14
160,002950.SZ,20190429,20190331,长江经济带(湖北)产业并购基金合伙企业(有限合伙),14588332.0,3.46
161,300768.SZ,20190411,20190412,周顺林,31535715.0,7.88
162,300768.SZ,20190411,20190412,杭州思道惟诚投资管理合伙企业(有限合伙),31535715.0,7.88
163,300768.SZ,20190411,20190412,杭州经略即远投资管理合伙企业(有限合伙),17498180.0,4.37
164,300768.SZ,20190411,20190412,杭州格物致慧投资管理合伙企业(有限合伙),17432728.0,4.36
165,300768.SZ,20190411,20190412,杭州闻涛岭潮投资管理合伙企业(有限合伙),17432728.0,4.36
166,300768.SZ,20190411,20190412,中移创新产业基金(深圳)合伙企业(有限合伙),16363636.0,4.09
167,300768.SZ,20190411,20190412,苏州方广创业投资合伙企业(有限合伙),10335129.0,2.58
168,300768.SZ,20190411,20190412,杭州哲创投资合伙企业(有限合伙),8181818.0,2.05
169,300768.SZ,20190411,20190412,杭州伯乐圣赢股权投资合伙企业(有限合伙),8181818.0,2.05
170,300768.SZ,20190411,20190412,郑树生,193611490.0,48.4
171,300722.SZ,20190429,20190331,江西省军工控股集团有限公司,29466667.0,36.83
172,300722.SZ,20190429,20190331,林书明,118700.0,0.15
173,300722.SZ,20190429,20190331,蔡康明,177500.0,0.22
174,300722.SZ,20190429,20190331,叶栋华,180000.0,0.23
175,300722.SZ,20190429,20190331,中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金,196500.0,0.25
176,300722.SZ,20190429,20190331,法国兴业银行,289800.0,0.36
177,300722.SZ,20190429,20190331,新余国晖投资管理中心(有限合伙),1860000.0,2.33
178,300722.SZ,20190429,20190331,全国社会保障基金理事会转持一户,2000000.0,2.5
179,300722.SZ,20190429,20190331,新余科信投资管理中心(有限合伙),4140000.0,5.18
180,300722.SZ,20190429,20190331,江西钢丝厂有限责任公司,22533333.0,28.17
181,002935.SZ,20190425,20190331,富信瑞和投资顾问(北京)有限公司,4226415.0,3.96
182,002935.SZ,20190425,20190331,郑兴世,1272547.0,1.19
183,002935.SZ,20190425,20190331,李河川,1188679.0,1.11
184,002935.SZ,20190425,20190331,尹湘艳,1056604.0,0.99
185,002935.SZ,20190425,20190331,陈斌,1056604.0,0.99
186,002935.SZ,20190425,20190331,刘类骥,1056604.0,0.99
187,002935.SZ,20190425,20190331,杨林,1056604.0,0.99
188,002935.SZ,20190425,20190331,晏艺峰,1056604.0,0.99
189,002935.SZ,20190425,20190331,张志刚,1320755.0,1.24
190,002935.SZ,20190425,20190331,成都众盈投资管理有限公司,2766981.0,2.59
191,002936.SZ,20190430,20190331,豫泰国际(河南)房地产开发有限公司,262000000.0,4.42
192,002936.SZ,20190430,20190331,百瑞信托有限责任公司,114697149.0,1.94
193,002936.SZ,20190430,20190331,河南晨东实业有限公司,226000000.0,3.82
194,002936.SZ,20190430,20190331,河南国原贸易有限公司,199046474.0,3.36
195,002936.SZ,20190430,20190331,中原信托有限公司,239426471.0,4.04
196,002936.SZ,20190430,20190331,香港中央结算(代理人)有限公司,1517868830.0,25.63
197,002936.SZ,20190430,20190331,河南盛润控股集团有限公司,100000000.0,1.69
198,002936.SZ,20190430,20190331,河南兴业房地产开发有限公司,250000000.0,4.22
199,002936.SZ,20190430,20190331,郑州市财政局,490904755.0,8.29
200,002936.SZ,20190430,20190331,郑州投资控股有限公司,215678764.0,3.64
201,300636.SZ,20190711,20190709,宁波旌辉投资合伙企业(有限合伙),11028649.0,13.6239
202,300636.SZ,20190711,20190709,中国-比利时直接股权投资基金,4705676.0,5.81
203,300636.SZ,20190711,20190709,丰隆实业有限公司,15081081.0,18.6299
204,300636.SZ,20190711,20190709,庞正伟,15872921.0,19.6081
205,300636.SZ,20190718,20190709,宁波旌辉创业投资合伙企业(有限合伙),11028649.0,13.6239
206,300636.SZ,20190710,20190708,丰隆实业有限公司,15081081.0,18.6299
207,300636.SZ,20190710,20190708,中国-比利时直接股权投资基金,4705676.0,5.81
208,300636.SZ,20190710,20190708,赵鸿良,4061938.0,5.02
209,300636.SZ,20190710,20190708,庞正伟,15872921.0,19.6081
210,300636.SZ,20190710,20190708,宁波旌辉投资合伙企业(有限合伙),11028649.0,13.6239
211,300551.SZ,20190426,20190331,沈阳晨讯希姆通科技有限公司,1686499.0,1.53
212,300551.SZ,20190426,20190331,杨德取,1146450.0,1.04
213,300551.SZ,20190426,20190331,秦映月,1245450.0,1.13
214,300551.SZ,20190426,20190331,贾黎明,2002179.0,1.82
215,300551.SZ,20190426,20190331,秦映雪,2474550.0,2.25
216,300551.SZ,20190426,20190331,陈崇军,42832500.0,38.92
217,300551.SZ,20190426,20190331,上海鼎锋久成股权投资基金合伙企业(有限合伙),1940268.0,1.76
218,300551.SZ,20190426,20190331,李霖君,2328451.0,2.12
219,300551.SZ,20190426,20190331,陈崇华,1627500.0,1.48
220,300551.SZ,20190426,20190331,温州海汇商融创业投资中心(有限合伙),3000000.0,2.73
221,300669.SZ,20190429,20190331,邹雨雅,2400000.0,2.82
222,300669.SZ,20190429,20190331,邹家春,8950000.0,10.5
223,300669.SZ,20190429,20190331,杭州斯代富投资管理有限公司,9000000.0,10.56
224,300669.SZ,20190429,20190331,杭州沪宁投资有限公司,36650000.0,42.99
225,300669.SZ,20190429,20190331,徐芙蓉,1200000.0,1.41
226,300669.SZ,20190429,20190331,尤颖,795041.0,0.93
227,300669.SZ,20190429,20190331,珠海乾亨投资管理有限公司,1129664.0,1.33
228,300669.SZ,20190429,20190331,周信钢,1147842.0,1.35
229,300669.SZ,20190429,20190331,徐文松,1200000.0,1.41
230,300669.SZ,20190429,20190331,李欣,1244300.0,1.46
231,002187.SZ,20190424,20190331,林穗贤,1975449.0,0.58
232,002187.SZ,20190424,20190331,领航投资澳洲有限公司-领航新兴市场股指基金(交易所),1453667.0,0.42
233,002187.SZ,20190424,20190331,李伟彬,2100000.0,0.61
234,002187.SZ,20190424,20190331,黄佩玲,3756319.0,1.1
235,002187.SZ,20190424,20190331,广州百货企业集团有限公司,182276438.0,53.23
236,002187.SZ,20190424,20190331,广州市汽车贸易有限公司,10800000.0,3.15
237,002187.SZ,20190424,20190331,中央汇金资产管理有限责任公司,3711500.0,1.08
238,002187.SZ,20190424,20190331,广州岭南集团控股股份有限公司,8153999.0,2.38
239,002187.SZ,20190424,20190331,余洪涛,4129950.0,1.21
240,002187.SZ,20190424,20190331,广州化工集团有限公司,7200000.0,2.1
241,300577.SZ,20190427,20190331,安徽开润股份有限公司-第一期员工持股计划,4275430.0,1.96
242,300577.SZ,20190427,20190331,招商银行股份有限公司-鹏华创新驱动混合型证券投资基金,2498038.0,1.15
243,300577.SZ,20190427,20190331,张溯,4953146.0,2.28
244,300577.SZ,20190427,20190331,全国社保基金一零二组合,4124724.0,1.9
245,300577.SZ,20190427,20190331,鹏华基金-建设银行-中国人寿-中国人寿委托鹏华基金公司混合型组合,3288604.0,1.51
246,300577.SZ,20190427,20190331,全国社保基金四零四组合,6312235.0,2.9
247,300577.SZ,20190427,20190331,钟治国,3240000.0,1.49
248,300577.SZ,20190427,20190331,高晓敏,8100000.0,3.72
249,300577.SZ,20190427,20190331,范劲松,133625635.0,61.4
250,300577.SZ,20190427,20190331,招商银行股份有限公司-鹏华新兴产业混合型证券投资基金,3088407.0,1.42
251,002807.SZ,20190426,20190331,江阴长江投资集团有限公司,77023750.0,4.26
252,002807.SZ,20190426,20190331,江阴市长达钢铁有限公司,77989951.0,4.31
253,002807.SZ,20190426,20190331,江阴新锦南投资发展有限公司,75743750.0,4.19
254,002807.SZ,20190426,20190331,江苏省华贸进出口有限公司,75368750.0,4.17
255,002807.SZ,20190426,20190331,江阴市华发实业有限公司,69379250.0,3.83
256,002807.SZ,20190426,20190331,江阴市爱衣思团绒毛纺有限公司,60902415.0,3.37
257,002807.SZ,20190426,20190331,江阴市振宏印染有限公司,60223110.0,3.33
258,002807.SZ,20190426,20190331,海澜集团有限公司,58019503.0,3.21
259,002807.SZ,20190426,20190331,江阴法尔胜钢铁制品有限公司,45684355.0,2.52
260,002807.SZ,20190426,20190331,无锡市嘉亿商贸有限公司,56528737.0,3.12
261,002871.SZ,20190425,20190331,刘营,220000.0,0.19
262,002871.SZ,20190425,20190331,苗洁,443400.0,0.38
263,002871.SZ,20190425,20190331,曹小毛,438090.0,0.38
264,002871.SZ,20190425,20190331,洪树刚,379920.0,0.33
265,002871.SZ,20190425,20190331,孔庆兰,244300.0,0.21
266,002871.SZ,20190425,20190331,程志荣,237840.0,0.2
267,002871.SZ,20190425,20190331,赵学清,203300.0,0.17
268,002871.SZ,20190425,20190331,范玉隆,4335000.0,3.71
269,002871.SZ,20190425,20190331,青岛惠隆企业管理有限公司,6936000.0,5.94
270,002871.SZ,20190425,20190331,范庆伟,75429000.0,64.61
271,300777.SZ,20190515,20190516,黄晓军,14067476.0,3.52
272,300777.SZ,20190515,20190516,杨永岗,14139041.0,3.53
273,300777.SZ,20190515,20190516,刘继川,14067476.0,3.52
274,300777.SZ,20190515,20190516,周近赤,15573803.0,3.89
275,300777.SZ,20190515,20190516,范春燕,16933043.0,4.23
276,300777.SZ,20190515,20190516,施秋芳,21174210.0,5.29
277,300777.SZ,20190515,20190516,袁怀东,22038505.0,5.51
278,300777.SZ,20190515,20190516,赵勤民,29948248.0,7.49
279,300777.SZ,20190515,20190516,常州市涌泉投资管理合伙企业(有限合伙),30535910.0,7.63
280,300777.SZ,20190515,20190516,常州市中简投资合伙企业(有限合伙),30568061.0,7.64
281,002372.SZ,20190425,20190331,谢瑾琨,17727343.0,1.35
282,002372.SZ,20190425,20190331,中央汇金资产管理有限责任公司,12187198.0,0.93
283,002372.SZ,20190425,20190331,永安国富资产管理有限公司-永安国富-永富10号私募证券投资基金,9569985.0,0.73
284,002372.SZ,20190425,20190331,香港中央结算有限公司(陆股通),26469361.0,2.02
285,002372.SZ,20190425,20190331,伟星集团有限公司,502799637.0,38.35
286,002372.SZ,20190425,20190331,章卡鹏,68782028.0,5.25
287,002372.SZ,20190425,20190331,张三云,45854687.0,3.5
288,002372.SZ,20190425,20190331,金红阳,12885844.0,0.98
